PriorityRank,Keyword,AdPotentialScore,Tier,HitConfidence,ExpectedAdType,AdSignal,CPC,Volume,Intents,SERP Features,Category,Source Batch,sc_AdPresence,sc_CPC,sc_Intent,sc_Volume,sc_Lexical
16,health insurance comparison,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $9.00 | Commercial+Local,9.0,11000,"Informational,Commercial,Non-branded,Non-local","Top ads,Thumbnail,People also ask,Bottom ads,Paid sitelinks,Video preview",Health insurance,Batch 5 (AAMI insurance),36,30,4,5,8
17,car insurance compare australia,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $7.00 | Commercial+Local,7.0,600,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,People also ask,Bottom ads,Video preview",Vehicle insurance,Batch 5 (AAMI insurance),36,30,6,3,8
18,best car insurance companies australia,83,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $7.00 | Commercial+Local,7.0,500,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Video preview,Bottom ads",Vehicle insurance,Batch 6 (ABC soy sauce+),36,30,6,3,8
19,curtains near me,83,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.60 | Transactional+Commercial+Local,1.6,1200,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Local pack,Sitelinks,Shopping,Thumbnail,People also ask,Shopping Ads,Bottom ads,Paid sitelinks",Window treatments,Batch 3 (3D printer),45,21,12,5,0
20,family lawyer near me,82,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.50 | Transactional+Local,4.5,500,"Informational,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Bottom ads",Family law,Batch 2 (24hr accountant),36,26,9,3,8
21,health insurance quote,81,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $12.00 | Transactional+Commercial+Local,12.0,900,"Commercial,Transactional,Non-branded,Non-local","Top ads,AI Overview,Thumbnail,Bottom ads,Video preview",Health insurance,Batch 5 (AAMI insurance),29,30,11,3,8
22,separation lawyer brisbane,81,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $8.00 | Commercial+Local,8.0,10,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Discussions,Bottom ads",Family law,Batch 2 (24hr accountant),36,30,6,1,8
23,plumber canberra,81,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $5.00 | Commercial+Local,5.0,1100,"Informational,Commercial,Non-branded,Local","Top ads,Local pack,People also ask,Bottom ads,Paid sitelinks",Plumbing,Batch 2 (24hr accountant),36,26,6,5,8
24,pest control canberra,81,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.50 | Commercial+Local,4.5,1000,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Discussions,Bottom ads,Thumbnail",Pest control,Batch 2 (24hr accountant),36,26,6,5,8
25,travel insurance australia,81,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.00 | Commercial+Local,4.0,22000,"Informational,Commercial,Non-branded,Local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Bottom ads,Video preview",Travel insurance,Batch 5 (AAMI insurance),36,26,6,5,8
26,melbourne emergency electrician,80,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $7.00 | Transactional+Commercial+Local,7.0,150,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask",Home improvement; Business,Batch 2 (24hr accountant),27,30,12,3,8
27,car hire brisbane airport,80,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $2.00 | Transactional+Commercial+Local,2.0,5300,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,Bottom ads",Car,Batch 5 (AAMI insurance),36,21,12,5,6
28,car hire melbourne airport,80,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $1.80 | Transactional+Commercial+Local,1.8,5200,"Commercial,Transactional,Non-branded,Local","Top ads,Local pack,People also ask,Video preview,Bottom ads,Paid sitelinks",Car,Batch 5 (AAMI insurance),36,21,12,5,6
29,private health insurance cheap,79,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $8.00 | Commercial+Local,8.0,70,"Informational,Commercial,Non-branded,Non-local","Top ads,Discussions,Bottom ads,Paid sitelinks",Health insurance,Batch 5 (AAMI insurance),36,30,4,1,8
30,best pet insurance,79,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $5.00 | Commercial+Local,5.0,6800,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,AI Overview,Thumbnail,Discussions,People also ask,Bottom ads,Video preview",Animal services,"Batch 4 (40"" smart TV)",36,26,4,5,8
31,best travel insurance,79,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.50 | Commercial+Local,4.5,5800,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Discussions,Bottom ads,Video preview",Travel insurance,Batch 5 (AAMI insurance),36,26,4,5,8
32,gas plumber sydney,79,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.50 | Commercial+Local,4.5,350,"Informational,Commercial,Non-branded,Local","Top ads,Local pack,People also ask,Bottom ads,Paid sitelinks",Plumbing,Batch 2 (24hr accountant),36,26,6,3,8
33,travel insurance compare,79,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.00 | Commercial+Local,4.0,9300,"Informational,Commercial,Non-branded,Non-local","Top ads,People also ask,Bottom ads,Paid sitelinks,Video preview",Travel insurance,Batch 5 (AAMI insurance),36,26,4,5,8
34,house painter near me,78,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $3.50 | Transactional+Commercial+Local,3.5,500,"Informational,Commercial,Transactional,Non-branded,Local","AI Overview,Thumbnail,People also ask,Knowledge panel,Top ads,Video preview,Bottom ads",Finishing,Batch 2 (24hr accountant),29,26,12,3,8
35,buy pet food,78,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $2.00 | Transactional+Commercial+Local,2.0,80,"Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Paid sitelinks,Sitelinks,Local pack,Shopping,Bottom ads",Shopping,"Batch 4 (40"" smart TV)",45,21,11,1,0
36,franchise lawyer,77,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $9.00 | Local,9.0,350,"Informational,Non-branded,Non-local","Top ads,AI Overview,Thumbnail,People also ask,Local pack,Bottom ads,Paid sitelinks",Business,Batch 2 (24hr accountant),36,30,0,3,8
37,domestic violence lawyer,77,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $7.00 | Local,7.0,600,"Informational,Non-branded,Non-local","Top ads,Paid sitelinks,People also ask,Local pack,Bottom ads",Family law,Batch 2 (24hr accountant),36,30,0,3,8
38,brisbane emergency electrician,77,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $7.00 | Transactional+Local,7.0,200,"Informational,Transactional,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask",Home improvement,Batch 2 (24hr accountant),27,30,9,3,8
39,travel insurance best,77,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.50 | Commercial+Local,4.5,500,"Informational,Commercial,Non-branded,Non-local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Discussions,Bottom ads,Video preview",Travel insurance,Batch 5 (AAMI insurance),36,26,4,3,8
40,garage door repair near me,77,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $4.00 | Transactional+Commercial+Local,4.0,600,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Paid sitelinks,AI Overview,Thumbnail,People also ask,Knowledge panel,Bottom ads,Video preview",Windows,Batch 2 (24hr accountant),36,26,12,3,0
